	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Atp1a2	19	12	5	7	10
Kcnj9	3	0	2	0	0
Kcnj10	4	0	1	0	1
Pigm	0	0	0	0	0
Igsf9	1	0	0	0	0
Tagln2	2	4	0	7	4
Cfap45	1	0	0	0	0
Dusp23	2	1	0	0	0
Ackr1	1	0	0	0	0
Cadm3	3	4	2	3	2
Ifi204	0	0	0	5	1
Mndal	0	2	2	1	2
Ifi211	0	1	0	1	0
Ifi203	0	0	1	4	1
Ifi205	0	0	1	0	0
Fmn2	1	0	0	1	0
Grem2	0	0	2	6	0
Rgs7	0	0	0	0	1
Fh1	5	3	1	6	6
Pld5	0	1	0	1	0
Cep170	0	2	0	2	0
Sdccag8	1	1	0	1	1
Akt3	0	1	0	1	1
Zbtb18	0	1	1	0	0
Adss	0	1	1	2	1
Desi2	1	0	0	0	0
B230369F24Rik	0	0	0	0	0
Cox20	4	4	2	10	8
Hnrnpu	4	5	1	13	10
Efcab2	0	1	1	1	1
Kif26b	1	0	0	0	1
Smyd3	1	1	0	0	1
Cnst	1	0	0	0	2
Sccpdh	0	1	0	1	3
Ahctf1	0	1	0	0	1
Cdc42bpa	2	3	0	2	2
Coq8a	2	0	0	2	5
Psen2	3	0	0	4	5
Itpkb	1	0	3	0	2
Gm37033	0	1	0	0	1
Stum	1	0	2	0	0
Parp1	0	1	0	0	2
Gm8101	0	0	2	2	2
Acbd3	1	1	1	0	1
H3f3a	9	7	6	27	42
Sde2	0	0	1	0	1
Pycr2	3	1	0	2	4
Tmem63a	2	2	0	2	2
Ephx1	0	1	2	7	9
Nvl	0	1	0	1	2
Cnih4	0	5	2	6	4
Wdr26	3	3	1	5	9
A430110L20Rik	0	0	0	1	0
Rpl35a-ps2	0	0	1	0	2
Cnih3	0	0	0	1	0
Lbr	0	0	0	0	3
E0h	0	4	2	5	5
Gm38359	1	0	0	0	0
Srp9	1	2	5	7	7
Degs1	1	2	2	6	9
1700047M11Rik	1	0	1	0	0
Fbxo28	0	0	0	0	0
Trp53bp2	2	0	0	1	0
Capn2	1	0	3	1	2
Susd4	2	0	4	3	3
Disp1	0	1	0	0	0
Brox	1	0	0	0	1
Aida	2	1	0	1	3
Mia3	0	1	1	3	1
Taf1a	0	0	0	0	2
Gm38358	0	0	1	1	1
02-Mar	0	5	1	4	3
C130074G19Rik	0	1	0	0	2
Mark1	2	3	0	1	2
Rab3gap2	2	2	1	2	4
Iars2	0	2	0	1	7
Bpnt1	1	2	0	1	2
4930532G15Rik	0	1	0	1	0
Eprs	0	1	2	7	8
Slc30a10	1	0	0	0	0
Rrp15	0	1	0	1	0
Gpatch2	2	0	1	2	1
Gm37254	0	1	0	0	1
Esrrg	0	0	1	0	0
Kctd3	1	0	1	1	2
Kcnk2	1	0	0	1	2
Pdcd5-ps	0	1	1	1	3
Cenpf	0	0	0	0	3
Ptpn14	1	1	0	0	3
Smyd2	2	2	1	3	4
Prox1	1	0	0	2	0
Rps6kc1	0	0	0	0	5
Angel2	1	0	0	3	1
Flvcr1	0	0	1	0	0
Tatdn3	1	0	0	2	1
D730003I15Rik	0	2	0	0	1
Nenf	3	3	2	1	3
Tmem206	0	0	0	2	2
Ppp2r5a	2	1	1	3	3
Dtl	0	0	0	1	0
Ints7	0	0	0	0	2
Lpgat1	2	2	0	1	2
Slc30a1	0	0	1	1	1
Gstp-ps	0	0	0	0	0
Rcor3	0	1	0	0	1
Kcnh1	0	0	0	0	0
Syt14	0	0	0	0	0
Diexf	0	2	0	0	1
A130010J15Rik	0	0	0	0	1
Lamb3	0	0	1	0	0
Hsd11b1	0	0	1	1	1
G0s2	1	2	1	0	1
Camk1g	1	0	0	0	1
Plx02	0	1	0	0	0
Cd34	0	2	0	1	1
A330023F24Rik	1	1	2	0	0
Cr1l	1	1	0	3	3
Cr2	1	0	0	0	1
Fam171a1	0	0	0	1	0
Nmt2	3	3	2	3	4
Rpp38	0	0	0	1	0
Meig1	0	0	0	0	0
Dclre1c	0	0	0	0	0
Hspa14	1	0	1	0	4
Fam107b	0	1	0	0	1
Frmd4a	3	1	1	1	2
1700080N15Rik	0	0	1	0	0
Prpf18	0	0	1	2	0
Sephs1	2	2	0	3	0
Phyh	1	3	1	4	6
Gm13194	0	0	0	0	0
Gm13192	0	0	1	2	1
Optn	0	0	1	1	1
Ccdc3	0	0	0	1	5
Camk1d	1	0	0	0	0
Gm13216	0	1	0	0	0
Cdc123	2	6	2	7	7
Nudt5	0	0	0	2	0
Sec61a2	1	2	0	1	2
Upf2	0	0	2	2	3
