	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Nt5dc3	16	38	47	32	38	24	36
Stab2	1	4	6	3	17	20	8
Pah	0	3	0	3	0	2	0
Igf1os	0	2	2	0	0	1	1
Igf1	144	223	229	185	263	336	214
Tyms-ps	0	2	1	0	3	4	1
Pmch	0	1	0	1	13	1	1
Parpbp	4	6	9	9	6	16	5
Gm6653	0	0	0	1	0	0	0
Nup37	23	45	37	33	49	43	31
Washc3	131	160	196	155	247	193	152
Dram1	4	2	7	4	9	8	9
Gnptab	25	47	37	31	59	44	37
Gm26546	0	1	1	0	0	0	0
Gm16235	0	0	0	0	0	0	0
Chpt1	83	145	136	114	186	192	115
Sycp3	0	4	3	3	6	5	4
Mybpc1	0	0	0	0	0	1	0
Gm29807	1	0	0	0	0	1	1
Spic	7	11	11	6	9	18	11
Gm46192	0	0	0	0	0	0	0
Gm4925	1	0	1	0	3	0	1
Arl1	129	241	247	204	302	254	221
Utp20	44	65	73	60	83	68	47
Slc5a8	0	0	0	0	0	1	0
Ano4	27	64	49	41	38	48	25
Gas2l3	12	32	22	17	30	34	24
Nr1h4	14	33	32	48	23	35	20
Slc17a8	0	0	0	0	0	1	0
Scyl2	38	62	55	56	72	58	54
1500026H17Rik	0	3	3	1	1	1	2
Actr6	21	48	54	33	69	38	27
Uhrf1bp1l	72	109	94	108	167	157	126
Anks1b	0	1	1	0	1	0	0
Gm5780	0	1	0	0	0	0	0
Apaf1	20	35	24	22	28	37	24
Ikbip	66	119	115	93	127	127	106
Slc25a3	742	1186	1284	1132	1808	1407	1269
Gm24119	1	5	2	4	10	0	4
Tmpo	78	164	147	131	233	167	144
Gm26765	0	0	0	0	0	0	0
Gm18705	0	0	1	0	0	2	0
Rmst	0	0	0	0	2	0	0
Mir135a-2	0	0	0	0	0	1	0
Gm4800	0	0	1	0	0	3	2
Nedd1	14	28	28	30	41	47	25
Gm47993	0	3	1	0	2	1	1
