	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Nbeal1	88	169	144	100	69	196
Cyp20a1	44	114	64	55	56	107
6030460B20Rik	4	6	7	3	2	13
Abi2	63	101	65	63	52	153
Raph1	66	132	99	70	54	158
Gm11575	2	5	4	5	2	2
Eif4a-ps4	190	762	487	251	180	179
Cd28	8	5	3	6	4	51
Gm11581	0	2	1	2	0	3
Ctla4	0	0	0	0	0	0
Rpl18-ps1	53	101	92	56	49	281
Gm11582	0	1	2	0	2	5
Icos	2	2	2	1	0	1
Rpl17-ps1	1	2	1	1	2	4
Gm11587	0	2	0	0	1	1
9530026F06Rik	0	0	0	0	0	0
Pard3b	22	39	33	33	20	40
Gm37205	1	1	0	3	0	1
Gm38012	2	4	3	3	2	1
Pard3bos1	2	1	1	0	0	0
Gm38075	0	5	2	1	2	0
Gm38351	2	1	0	2	2	1
Pard3bos3	0	0	0	0	1	0
Gm29084	0	0	1	1	0	0
Gm11599	13	88	63	14	20	26
Nrp2	99	234	197	128	112	255
Gm29083	1	1	1	0	0	1
Gm37121	6	13	7	6	3	10
Gm4208	0	0	0	0	0	1
Ino80d	69	126	154	77	66	174
Rps27-ps1	0	4	3	2	3	8
Ino80dos	9	4	13	4	5	12
Gm20342	28	32	48	34	21	89
Ndufs1	124	300	358	180	150	312
Gm24557	0	0	1	0	0	0
Eef1b2	1057	1630	1419	1300	1092	1767
Snora41	0	0	2	0	0	0
Gpr1	2	5	2	2	1	4
Zdbf2	1	2	2	2	0	4
Gm11605	1	3	3	1	1	0
Adam23	22	62	34	29	13	56
Mdh1b	0	0	0	0	0	0
Fastkd2	28	69	54	25	28	43
Gm13754	0	0	0	0	0	1
Gm13749	0	0	0	1	0	0
Klf7	86	210	170	107	83	248
Gm26649	8	2	5	4	2	3
Gm13750	3	5	2	3	3	4
Creb1	77	177	114	83	78	190
Mettl21a	38	63	67	43	34	52
Gm28982	0	1	1	1	0	0
Gm29152	3	9	2	4	2	2
2810408I11Rik	4	15	10	10	2	4
Ccnyl1	15	46	25	21	21	48
Fzd5	17	26	15	20	11	36
Gm38058	3	0	1	0	2	1
Plekhm3	16	39	39	19	29	52
Rpl10a-ps1	115	345	169	157	107	609
Gm24788	0	2	1	0	0	0
Akr1cl	2934	6130	7803	3574	3026	5030
Gm8550	21	14	26	17	21	14
Cryge	5	9	12	4	3	6
Crygc	0	1	1	4	0	0
Crygb	1	0	4	0	0	4
Gm7329	66	209	87	77	54	295
Cryga	0	1	0	0	0	1
D630023F18Rik	43	71	105	48	40	83
Idh1	2024	3496	2909	2271	2090	4099
Pikfyve	64	123	101	69	49	135
Pth2r	1	0	1	0	0	0
Gm28927	59	69	92	53	46	15
Gm8805	4	5	6	3	3	20
Map2	13	12	25	27	8	35
Unc80	0	0	0	0	0	0
Rpe	44	130	85	68	58	130
Kansl1l	42	77	58	41	31	77
Gm37570	2	0	3	0	1	3
Gm38387	3	1	1	4	1	4
Gm38162	4	7	6	4	2	14
Gm15789	5	1	0	2	2	2
6820402A03Rik	5	16	7	9	6	6
Gm37285	0	0	0	1	0	1
Gm37755	1	1	0	1	0	1
Gm38218	0	0	0	1	0	1
Acadl	202	495	390	278	174	434
Gm15793	7	32	11	13	8	48
Gm25832	0	0	0	0	0	1
Myl1	6	8	17	5	12	11
Rpl31-ps14	20	39	45	22	17	64
Lancl1	84	186	133	93	75	188
Cps1	0	1	0	2	0	0
Gm15668	0	1	0	0	1	0
Erbb4	1	1	0	0	2	3
Gm8840	3	1	5	4	2	17
Ikzf2	23	29	52	23	23	53
Gm28112	0	0	1	0	0	2
Spag16	0	0	2	1	1	0
Gm28580	1	4	2	4	2	5
Bard1	1	11	14	7	7	12
Abca12	0	1	0	1	0	0
Atic	63	196	139	74	72	129
Fn1	171	436	264	170	114	474
Apol7d	0	0	1	0	0	0
Gm5829	0	1	0	0	1	0
Gm5256	0	2	2	2	0	4
Gm28818	0	0	0	0	0	2
4933417E11Rik	0	0	0	0	0	1
Gm5528	1	9	10	3	3	26
Gm8885	9	18	9	7	15	38
Gm4319	0	6	4	0	1	3
Mreg	4	8	17	2	6	10
Gm25360	0	4	1	3	0	3
D230017M19Rik	10	12	9	8	6	11
Gm23472	0	1	0	0	0	2
Gm24497	5	2	3	6	8	13
Gm25939	8	1	10	11	5	10
Pecr	43	131	96	51	41	66
Tmem169	1	4	2	0	2	3
Xrcc5	29	66	81	36	24	79
04-Mar	0	0	1	1	0	1
Gm15843	21	42	17	13	23	100
Smarcal1	24	61	82	35	28	90
Gm39662	0	0	0	0	1	0
Rpl37a	1857	2299	2693	2088	1839	2423
Igfbp2	81	226	108	95	65	265
Igfbp5	168	314	330	265	202	519
Gm9553	1	0	5	4	0	3
C530043A13Rik	0	0	0	0	0	1
Gm29186	0	0	1	0	0	0
6030407O03Rik	5	10	14	1	3	9
Gm29183	2	5	2	2	0	1
Tns1	176	445	289	201	164	489
Rufy4	1	6	0	2	1	9
Cxcr2	2	6	1	0	0	0
Cxcr1	0	0	0	0	0	0
Arpc2	258	670	401	308	234	614
Gpbar1	3	3	0	0	0	5
Aamp	219	556	545	267	219	428
Gm28364	3	0	1	0	1	1
Pnkd	102	340	210	130	112	224
Gm37503	0	0	0	0	0	1
Tmbim1	91	216	129	109	74	227
Gm29358	4	7	5	3	3	2
Gm37931	1	4	6	1	1	8
Catip	3	5	2	6	2	7
Slc11a1	41	96	23	37	35	124
Ctdsp1	79	220	148	95	86	307
Mir26b	0	6	10	2	1	0
Vil1	1	9	6	4	2	8
Usp37	23	67	42	26	25	46
Gm37733	4	5	1	3	3	6
Cnot9	38	87	52	50	34	130
Plcd4	2	1	4	2	5	11
Zfp142	23	45	43	28	16	58
Bcs1l	42	87	89	50	34	81
Rnf25	42	109	118	51	39	106
Stk36	7	21	14	11	1	15
