	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Cryga	0	1	0	0	0	0
D630023F18Rik	43	71	105	125	164	97
Idh1	2024	3496	2909	3827	3624	3257
Pikfyve	64	123	101	107	92	75
Pth2r	1	0	1	0	0	0
Gm28927	59	69	92	50	31	29
Gm8805	4	5	6	6	4	6
Map2	13	12	25	20	24	13
Unc80	0	0	0	0	1	0
Rpe	44	130	85	112	118	107
Kansl1l	42	77	58	51	78	52
Gm37570	2	0	3	1	2	2
Gm38387	3	1	1	2	3	0
Gm38162	4	7	6	2	6	2
Gm15789	5	1	0	0	0	1
6820402A03Rik	5	16	7	5	3	2
Gm37285	0	0	0	0	0	0
Gm37755	1	1	0	0	0	0
Gm38218	0	0	0	1	0	2
Acadl	202	495	390	460	465	361
Gm15793	7	32	11	13	17	17
Gm25832	0	0	0	0	0	0
Myl1	6	8	17	19	17	16
Rpl31-ps14	20	39	45	16	35	28
Lancl1	84	186	133	149	143	124
Cps1	0	1	0	1	0	0
Gm15668	0	1	0	0	0	1
Erbb4	1	1	0	0	1	0
Gm8840	3	1	5	3	1	1
Ikzf2	23	29	52	38	40	26
Gm28112	0	0	1	1	0	0
Spag16	0	0	2	1	0	0
Gm28580	1	4	2	4	4	3
Bard1	1	11	14	1	3	5
Abca12	0	1	0	0	0	0
Atic	63	196	139	193	143	122
Fn1	171	436	264	286	342	247
Apol7d	0	0	1	1	4	0
Gm5829	0	1	0	1	0	1
Gm5256	0	2	2	4	1	3
Gm28818	0	0	0	0	1	1
4933417E11Rik	0	0	0	0	1	2
Gm5528	1	9	10	3	7	1
Gm8885	9	18	9	19	8	7
Gm4319	0	6	4	4	5	5
Mreg	4	8	17	4	9	5
Gm25360	0	4	1	2	3	1
D230017M19Rik	10	12	9	8	14	8
Gm23472	0	1	0	0	0	0
Gm24497	5	2	3	0	5	1
Gm25939	8	1	10	1	2	5
Pecr	43	131	96	123	76	69
Tmem169	1	4	2	1	0	1
Xrcc5	29	66	81	73	63	47
04-Mar	0	0	1	0	1	1
Gm15843	21	42	17	16	14	10
Smarcal1	24	61	82	58	43	42
Gm39662	0	0	0	1	2	0
Rpl37a	1857	2299	2693	1903	1706	1718
Igfbp2	81	226	108	187	274	176
Igfbp5	168	314	330	268	360	275
Gm9553	1	0	5	3	9	8
C530043A13Rik	0	0	0	0	0	1
Gm29186	0	0	1	0	0	1
6030407O03Rik	5	10	14	8	4	7
Gm29183	2	5	2	7	1	1
Tns1	176	445	289	342	318	219
Rufy4	1	6	0	4	1	5
Cxcr2	2	6	1	0	0	0
Cxcr1	0	0	0	0	0	0
Arpc2	258	670	401	551	649	444
Gpbar1	3	3	0	0	3	0
Aamp	219	556	545	613	525	435
Gm28364	3	0	1	0	0	0
Pnkd	102	340	210	291	400	328
Gm37503	0	0	0	0	1	0
Tmbim1	91	216	129	184	170	139
Gm29358	4	7	5	5	0	4
Gm37931	1	4	6	5	1	2
Catip	3	5	2	8	5	5
Slc11a1	41	96	23	72	97	64
Ctdsp1	79	220	148	163	145	143
Mir26b	0	6	10	16	12	8
Vil1	1	9	6	5	5	9
Usp37	23	67	42	44	44	38
Gm37733	4	5	1	1	5	1
Cnot9	38	87	52	64	65	33
Plcd4	2	1	4	1	4	2
Zfp142	23	45	43	44	51	24
Bcs1l	42	87	89	81	82	61
Rnf25	42	109	118	108	108	96
Stk36	7	21	14	12	9	13
Ttll4	42	79	82	59	72	53
Cyp27a1	8	37	68	38	29	38
Prkag3	0	0	2	0	0	0
Wnt6	61	224	36	204	186	155
Gm29539	1	1	2	3	2	0
Wnt10a	20	66	7	94	49	68
Cdk5r2	0	0	0	1	1	0
Cfap65	0	1	0	0	0	2
Ihh	5	32	42	24	25	19
Nhej1	10	28	17	17	16	16
Slc23a3	6	10	13	9	7	10
Cnppd1	73	167	114	162	133	104
Retreg2	52	150	118	119	112	108
Zfand2b	20	90	85	121	82	79
Abcb6	3	3	2	1	1	3
Atg9a	12	21	9	25	17	15
Ankzf1	25	110	82	90	61	71
Glb1l	11	40	46	38	41	29
Stk16	58	228	160	191	202	157
Tuba4a	16	47	31	47	24	35
D0jb2	50	172	209	177	152	143
Ptprn	19	41	1	37	43	39
Gm28294	0	0	0	0	1	1
Resp18	0	0	1	0	1	0
Dnpep	197	484	383	667	491	428
Des	92	239	146	133	120	112
Speg	53	80	69	81	88	71
Gmppa	55	222	125	240	231	208
Asic4	2	5	7	0	3	2
Chpf	35	136	96	132	147	115
Obsl1	113	362	410	327	272	253
